year,dist_id,dno_key,dno_name,dno_code,filename,sheet,row_index,tariff_code,rates_found,values_found,raw_text,voltage,customer_type,time_band
2026,13,SP-Manweb,SP Energy Networks (SPM),SPM,SPM 2026_27 CDCM_v11_20241025_Published.xlsx,Unit costs,4,EHV EHV,[],"['132', '132', '132']",Click here to return to model map Units Constants Transmission exit GSPs 132kV 132kV/EHV EHV EHV/HV 132kV/HV HV HV/LV LV circuits LV customers HV customers Legal text reference,LV,,
2026,14,NGED-WM,National Grid Electricity Distribution – West Midlands,WMID,MIDE - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,"Annex 1 LV, HV and UMS charges",1,LV and,[],"['1', '2026']",National Grid Electricity Distribution (West Midlands) plc  - Effective from 1 April 2026 - Final LV and HV charges,LV,,
2026,14,NGED-WM,National Grid Electricity Distribution – West Midlands,WMID,MIDE - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,Annex 2 Designated EHV charges,1,EHV charges,[],"['1', '2026']",National Grid Electricity Distribution (West Midlands) plc  - Effective from 1 April 2026 - Final Designated EHV charges,HV,,
2026,14,NGED-WM,National Grid Electricity Distribution – West Midlands,WMID,MIDE - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,Annex 2a Import,1,EHV import,[],"['1', '2026']",National Grid Electricity Distribution (West Midlands) plc  - Effective from 1 April 2026 - Final Designated EHV import charges,HV,,
2026,14,NGED-WM,National Grid Electricity Distribution – West Midlands,WMID,MIDE - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,Annex 2b Export,1,EHV export,[],"['1', '2026']",National Grid Electricity Distribution (West Midlands) plc  - Effective from 1 April 2026 - Final Designated EHV export charges,HV,,
2026,14,NGED-WM,National Grid Electricity Distribution – West Midlands,WMID,MIDE - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,Annex 3 Preserved charges,1,LV and,[],"['1', '2026']",National Grid Electricity Distribution (West Midlands) plc  - Effective from 1 April 2026 - Final LV and HV tariffs,LV,,
2026,14,NGED-WM,National Grid Electricity Distribution – West Midlands,WMID,MIDE - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,Annex 6 New or Amended EHV,3,EHV charges,[],"['1', '2026']",National Grid Electricity Distribution (West Midlands) plc  - Effective from 1 April 2026 - Final new designated EHV charges,HV,,
2026,14,NGED-WM,National Grid Electricity Distribution – West Midlands,WMID,MIDE - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,Annex 6 New or Amended EHV,16,EHV line,[],"['1', '2026']",National Grid Electricity Distribution (West Midlands) plc  - Effective from 1 April 2026 - Final new designated EHV line loss factors,HV,,
2026,15,NPg-NE,Northern Powergrid (North East),NE,Northern Powergrid (Northeast) - 2026-27 CDCM Model v0.1.xlsx,Unit costs,4,EHV EHV,[],"['132', '132', '132']",Click here to return to model map Units Constants Transmission exit GSPs 132kV 132kV/EHV EHV EHV/HV 132kV/HV HV HV/LV LV circuits LV customers HV customers Legal text reference,LV,,
2026,18,SP-Distribution,SP Energy Networks (SPD),SPD,SPD-2026_27CDCM_v11_20241025.xlsx,Unit costs,4,EHV EHV,[],"['132', '132', '132']",Click here to return to model map Units Constants Transmission exit GSPs 132kV 132kV/EHV EHV EHV/HV 132kV/HV HV HV/LV LV circuits LV customers HV customers Legal text reference,LV,,
2026,21,NGED-SWales,National Grid Electricity Distribution – South Wales,SWALES,SWAE - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,"Annex 1 LV, HV and UMS charges",1,LV and,[],"['1', '2026']",National Grid Electricity Distribution (South Wales) plc  - Effective from 1 April 2026 - Final LV and HV charges,LV,,
2026,21,NGED-SWales,National Grid Electricity Distribution – South Wales,SWALES,SWAE - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,Annex 2 Designated EHV charges,1,EHV charges,[],"['1', '2026']",National Grid Electricity Distribution (South Wales) plc  - Effective from 1 April 2026 - Final Designated EHV charges,HV,,
2026,21,NGED-SWales,National Grid Electricity Distribution – South Wales,SWALES,SWAE - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,Annex 2a Import,1,EHV import,[],"['1', '2026']",National Grid Electricity Distribution (South Wales) plc  - Effective from 1 April 2026 - Final Designated EHV import charges,HV,,
2026,21,NGED-SWales,National Grid Electricity Distribution – South Wales,SWALES,SWAE - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,Annex 2b Export,1,EHV export,[],"['1', '2026']",National Grid Electricity Distribution (South Wales) plc  - Effective from 1 April 2026 - Final Designated EHV export charges,HV,,
2026,21,NGED-SWales,National Grid Electricity Distribution – South Wales,SWALES,SWAE - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,Annex 3 Preserved charges,1,LV and,[],"['1', '2026']",National Grid Electricity Distribution (South Wales) plc  - Effective from 1 April 2026 - Final LV and HV tariffs,LV,,
2026,21,NGED-SWales,National Grid Electricity Distribution – South Wales,SWALES,SWAE - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,Annex 6 New or Amended EHV,3,EHV charges,[],"['1', '2026']",National Grid Electricity Distribution (South Wales) plc  - Effective from 1 April 2026 - Final new designated EHV charges,HV,,
2026,21,NGED-SWales,National Grid Electricity Distribution – South Wales,SWALES,SWAE - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,Annex 6 New or Amended EHV,16,EHV line,[],"['1', '2026']",National Grid Electricity Distribution (South Wales) plc  - Effective from 1 April 2026 - Final new designated EHV line loss factors,HV,,
2026,22,NGED-SW,National Grid Electricity Distribution – South West,SWEST,SWEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,"Annex 1 LV, HV and UMS charges",1,LV and,[],"['1', '2026']",National Grid Electricity Distribution (South West) plc  - Effective from 1 April 2026 - Final LV and HV charges,LV,,
2026,22,NGED-SW,National Grid Electricity Distribution – South West,SWEST,SWEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,Annex 2 Designated EHV charges,1,EHV charges,[],"['1', '2026']",National Grid Electricity Distribution (South West) plc  - Effective from 1 April 2026 - Final Designated EHV charges,HV,,
2026,22,NGED-SW,National Grid Electricity Distribution – South West,SWEST,SWEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,Annex 2a Import,1,EHV import,[],"['1', '2026']",National Grid Electricity Distribution (South West) plc  - Effective from 1 April 2026 - Final Designated EHV import charges,HV,,
2026,22,NGED-SW,National Grid Electricity Distribution – South West,SWEST,SWEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,Annex 2b Export,1,EHV export,[],"['1', '2026']",National Grid Electricity Distribution (South West) plc  - Effective from 1 April 2026 - Final Designated EHV export charges,HV,,
2026,22,NGED-SW,National Grid Electricity Distribution – South West,SWEST,SWEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,Annex 3 Preserved charges,1,LV and,[],"['1', '2026']",National Grid Electricity Distribution (South West) plc  - Effective from 1 April 2026 - Final LV and HV tariffs,LV,,
2026,22,NGED-SW,National Grid Electricity Distribution – South West,SWEST,SWEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,Annex 6 New or Amended EHV,3,EHV charges,[],"['1', '2026']",National Grid Electricity Distribution (South West) plc  - Effective from 1 April 2026 - Final new designated EHV charges,HV,,
2026,22,NGED-SW,National Grid Electricity Distribution – South West,SWEST,SWEB - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,Annex 6 New or Amended EHV,16,EHV line,[],"['1', '2026']",National Grid Electricity Distribution (South West) plc  - Effective from 1 April 2026 - Final new designated EHV line loss factors,HV,,
2026,23,NPg-Y,Northern Powergrid (Yorkshire),Y,Northern Powergrid (Yorkshire) - 2026-27 CDCM Model v0.1.xlsx,Unit costs,4,EHV EHV,[],"['132', '132', '132']",Click here to return to model map Units Constants Transmission exit GSPs 132kV 132kV/EHV EHV EHV/HV 132kV/HV HV HV/LV LV circuits LV customers HV customers Legal text reference,LV,,
