Month,Energy Imbalance,Operating Reserve,STOR,Constraints - E&W,Constraints - Cheviot,Constraints - Scotland,Constraints - AS,Negative Reserve,Fast Reserve,Response,Other Reserve,Reactive,Minor Components,Black Start,Total,Demand,Estimated Internal BSUos(£m),Esitmated NGET Profit/(Loss),ALoMCP,CMP345/350 Deferred Costs
Mar-21,3.957081974,36.1608917,2.858551173,37.85227396,15.93370627,20.05442615,1.10013918,0.180738314,14.70265885,20.07198355,2.00483868,7.610700855,3.010353039,6.045879914,171.5442236,40.17071888,18.9210411,1.462264151,4.8,
Apr-21,5.955599646,22.86461595,4.081814168,36.4163562,1.470994947,5.73414102,0.827083218,0.319709397,15.05833183,20.47410357,1.395578258,8.221774901,1.413886895,3.515834496,127.7498245,40.65205093,23.26027397,0.0,4.8,1.745967616
May-21,13.81223046,13.0207072,5.884873448,41.51673438,6.516118319,1.864835247,0.056694748,0.674122817,9.764336599,16.28129279,0.889331871,7.402841556,2.890382873,3.797907382,124.3724097,37.85580184,24.03561644,0.0,4.8,1.804166537
Jun-21,10.15072689,10.83371286,5.434767887,31.25924715,10.76912097,2.782856,0.0,1.643863178,13.03203016,15.8699163,1.007946391,7.039395612,2.577322236,3.808219178,116.2091248,35.66265147,23.26027397,0.0,4.8,1.745967616
Jul-21,11.34196978,10.97041804,5.962998065,22.56428172,11.52777604,2.972596,0.0,1.846568357,13.44211317,16.6443061,1.171890175,6.925799438,2.561929697,3.812328767,111.7449754,36.43757197,24.03561644,0.0,4.8,1.804166537
Aug-21,10.71611978,11.24764188,5.817931184,33.21152572,12.78844004,3.035843,0.0,1.666469361,13.95715765,17.15235919,1.284052818,6.793286042,2.556029014,3.816438356,124.043294,36.73089089,24.03561644,0.0,4.8,1.804166537
Sep-21,12.04283689,14.12836031,6.307976992,43.82243315,11.81177597,3.035843,0.0,1.761269194,10.25333948,15.244565,1.049152513,6.559580884,2.049746542,3.820547945,131.8874279,38.16667331,23.26027397,0.0,4.8,1.745967616
Oct-21,13.36458978,16.37231884,6.226388327,73.03922572,12.52777604,2.972596,0.0,1.210690085,10.63073751,15.31119808,0.886843321,6.741886035,3.082068391,3.824657534,166.1909757,40.7483452,24.03561644,0.0,4.8,1.804166537
Nov-21,12.83547689,16.14733682,7.428685335,82.12977415,11.469199,3.567115,0.0,0.502129387,10.8679546,15.10658048,0.916175573,6.475297161,1.55543253,3.828767123,172.829924,48.75424973,23.26027397,0.0,4.8,1.745967616
Dec-21,13.15414978,18.85168112,7.470250666,70.15034872,10.426545,2.529869,0.0,0.467609764,11.56970713,15.37900185,0.882285583,7.070326985,2.032935002,3.832876712,163.8175873,49.68226405,24.03561644,0.0,4.8,1.804166537
Jan-22,13.94207978,21.09988493,7.574538827,46.33577372,8.914696,2.163038,0.0,0.643814364,11.82591769,15.17779848,0.851570155,7.006655566,0.460841963,3.836986301,139.8335958,53.73228459,24.03561644,0.0,4.8,1.804166537
Feb-22,14.62155231,20.94033321,6.5184684,104.3570043,7.550256586,1.831974345,0.0,0.119231031,10.09343074,14.14615138,0.890712455,5.703072033,2.251210838,3.84109589,192.8644935,44.70451251,21.70958904,0.0,4.8,1.629569775
Mar-22,9.833437012,18.20761728,7.399366707,109.5534615,6.323774924,1.534384429,0.0,0.223143885,11.2422081,15.44340009,1.043739528,6.093592728,0.284658128,3.845205479,191.0279898,45.98619204,24.03561644,0.0,4.8,1.804166537
Apr-22,8.502554146,15.29295896,5.167662387,29.20430205,7.641157825,2.023895,0.0,0.404275131,9.036835996,11.80912289,1.14423862,6.693909268,3.01394728,3.849315068,103.7841746,40.0353369,23.26027397,0.0,4.8,
May-22,7.897593618,11.95581867,5.575822434,27.89037525,9.181803086,2.403376,0.0,0.895486509,8.973187964,12.58148658,0.869565856,7.491611393,2.96319145,3.853424658,102.5327435,37.85580184,24.03561644,0.0,4.8,
Jun-22,8.178124146,10.83371286,5.434767887,25.67020605,10.76912097,2.782856,0.0,1.643863178,8.81344767,11.92471082,1.007946391,7.039395612,2.577322236,3.857534247,100.5330081,35.66265147,23.26027397,0.0,4.8,
Jul-22,9.303613618,10.97041804,5.962998065,25.98893925,11.52777604,2.972596,0.0,1.846568357,9.082911269,12.56759378,1.171890175,6.925799438,2.561929697,3.861643836,104.7446776,36.43757197,24.03561644,0.0,0.0,
Aug-22,8.677763618,11.24764188,5.817931184,33.63618325,12.78844004,3.035843,0.0,1.666469361,9.597955749,13.07564686,1.284052818,6.793286042,1.545159449,3.865753425,113.0321267,36.73089089,24.03561644,0.0,0.0,
Sep-22,10.07023415,14.12836031,6.307976992,38.23339205,11.81177597,3.035843,0.0,1.761269194,8.773887424,11.29935952,1.049152513,6.559580884,1.071485672,3.869863014,117.9721807,38.16667331,23.26027397,0.0,0.0,
Oct-22,11.32623362,16.37231884,6.226388327,40.46388325,12.52777604,2.972596,0.0,1.210690085,9.101970386,11.23448575,0.886843321,6.741886035,2.071198826,3.873972603,125.0102431,40.7483452,24.03561644,0.0,0.0,
Nov-22,10.86287415,16.14733682,7.428685335,37.54073305,11.469199,3.567115,0.0,0.502129387,9.388502548,11.161375,0.916175573,6.475297161,0.577171661,3.878082192,119.9146769,48.75424973,23.26027397,0.0,0.0,
Dec-22,11.11579362,18.85168112,7.470250666,33.57500625,10.426545,2.529869,0.0,0.467609764,10.04094001,11.30228952,0.882285583,7.070326985,1.022065437,3.882191781,118.6368547,49.68226405,24.03561644,0.0,0.0,
Jan-23,11.90372362,21.09988493,7.574538827,28.76043125,8.914696,2.163038,0.0,0.643814364,10.29715057,11.10108615,0.851570155,7.006655566,-0.550027602,3.88630137,113.6528632,53.73228459,24.03561644,0.0,0.0,
Feb-23,12.78045642,20.94033321,6.5184684,35.92700658,7.550256586,1.831974345,0.0,0.119231031,8.712608818,10.4639596,0.890712455,5.703072033,2.251210838,3.890410959,117.5797013,44.70451251,21.70958904,0.0,0.0,
Mar-23,10.79508085,13.20761728,7.399366707,33.79167836,6.323774924,1.534384429,0.0,0.223143885,9.713440979,11.36668776,1.043739528,6.093592728,0.284658128,3.894520548,105.6716861,45.98619204,24.03561644,0.0,0.0,
Apr-23,8.502554146,15.29295896,5.167662387,29.20430205,7.641157825,2.023895,0.0,0.404275131,9.036835996,11.80912289,1.14423862,6.693909268,3.01394728,3.898630137,103.8334897,40.0353369,23.26027397,0.0,0.0,
