Year,MPAN_Code,DNO_Key,Short_Code,Band,Time_Period,Min_Rate_p_kWh,Max_Rate_p_kWh,Mean_Rate_p_kWh,Median_Rate_p_kWh,GSP_Group_ID,GSP_Group_Name,Count,Unit,File_Path
2020,20,SSE-SEPD,SEPD,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.978,1.173,1.0156571879936809,1.015,H,Southern,633,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-april-2020_v1.2.xlsx
2020,20,SSE-SEPD,SEPD,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",2.14128332532004,2.64148714872039,2.474752540920273,2.64148714872039,H,Southern,3,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-april-2020_v1.2.xlsx
2020,20,SSE-SEPD,SEPD,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",1.003,1.081,1.0392,1.039,H,Southern,10,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",1.004,1.079,1.0415714285714286,1.045,H,Southern,7,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.160315876774,0.205084207136,0.182700041955,0.205084207136,H,Southern,2,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.34,20.61,2.487391304347826,1.04,H,Southern,23,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,3.51,2.3153333333333332,1.934,H,Southern,15,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-april-2020_v1.2.xlsx
2020,20,SSE-SEPD,SEPD,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.29,1.6033333333333333,1.262,H,Southern,15,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-april-2020_v1.2.xlsx
2020,20,SSE-SEPD,SEPD,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",0.964,1.219,1.0151200631911532,1.012,H,Southern,633,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-april-2020_v1.2.xlsx
2020,20,SSE-SEPD,SEPD,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.0,1.4610778443113772,1.0,H,Southern,167,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-april-2020_v1.2.xlsx
2020,20,SSE-SEPD,SEPD,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",6.04,6.04,6.04,6.04,H,Southern,3,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-april-2020_v1.2.xlsx
2020,20,SSE-SEPD,SEPD,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,4.84,2.9339999999999997,2.194,H,Southern,15,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,3.35,2.3016666666666667,2.085,H,Southern,15,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,4.11,2.637666666666667,2.181,H,Southern,15,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,3.537,2.6896666666666667,3.11,H,Southern,15,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,4.7,2.822333333333334,2.027,H,Southern,15,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,6.69,3.751,2.425,H,Southern,15,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,3.92,2.5653333333333337,2.192,H,Southern,15,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,4.84,3.060666666666666,2.574,H,Southern,15,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,4.39,2.9829999999999997,2.881,H,Southern,15,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,4.92,3.161666666666666,2.781,H,Southern,15,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,6.81,3.619,1.885,H,Southern,15,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,3.33,2.102,1.51,H,Southern,15,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.33,1.682,1.45,H,Southern,15,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,3.01,2.004,1.6,H,Southern,15,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.93,2.195,2.0504545454545453,1.93,H,Southern,11,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,3.12,1.9626666666666668,1.344,H,Southern,15,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,3.98,2.3400000000000003,1.444,H,Southern,15,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.52,1.7446666666666666,1.41,H,Southern,15,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,3.32,2.1836666666666664,1.767,H,Southern,15,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.95,2.0926666666666667,1.938,H,Southern,15,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,3.05,2.061,1.723,H,Southern,15,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,4.09,2.280333333333333,1.133,H,Southern,15,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.003,1.099,1.0466,1.046,H,Southern,10,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.003,1.067,1.035,1.037,H,Southern,7,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",0.849015626339676,4.525828493900307,2.675306733899266,3.742791268625467,H,Southern,4,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",0.774097162791,3.0,2.6206246030867333,3.0,H,Southern,15,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",0.191869086202,2.32222322336,0.838609165953,0.431448786343,H,Southern,4,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",0.34,10.62,3.965694444444445,3.17,H,Southern,72,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",0.1845821763431875,1.334024549083249,0.7593033627132182,1.334024549083249,H,Southern,2,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",0.00871012488207,4.72844168928,1.0750681026582976,0.462991547189,H,Southern,12,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.0,1.4610778443113772,1.0,H,Southern,167,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,RED,16:00-19:00 (weekdays) (default),0.441,3.51,2.0889473684210524,2.387,H,Southern,19,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-april-2020_v1.2.xlsx
2020,20,SSE-SEPD,SEPD,RED,16:00-19:00 (weekdays) (default),0.288,2.29,1.5092105263157896,1.557,H,Southern,19,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-april-2020_v1.2.xlsx
2020,20,SSE-SEPD,SEPD,RED,16:00-19:00 (weekdays) (default),0.987,1.094,1.018105845181675,1.016,H,Southern,633,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-april-2020_v1.2.xlsx
2020,20,SSE-SEPD,SEPD,RED,16:00-19:00 (weekdays) (default),2.19660099027337,16.3391748841838,11.624983586213656,16.3391748841838,H,Southern,3,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-april-2020_v1.2.xlsx
2020,20,SSE-SEPD,SEPD,RED,16:00-19:00 (weekdays) (default),1.0,2.0,1.4745762711864407,1.0,H,Southern,59,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-april-2020_v1.2.xlsx
2020,20,SSE-SEPD,SEPD,RED,16:00-19:00 (weekdays) (default),0.18,4.84,2.4865789473684208,2.829,H,Southern,19,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,RED,16:00-19:00 (weekdays) (default),0.834,3.35,2.1376315789473685,2.339,H,Southern,19,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,RED,16:00-19:00 (weekdays) (default),2.0,4.11,3.06,2.858,H,Southern,14,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,RED,16:00-19:00 (weekdays) (default),1.737,3.986,2.7455263157894736,3.11,H,Southern,19,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,RED,16:00-19:00 (weekdays) (default),1.005,4.7,2.5036842105263157,2.209,H,Southern,19,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,RED,16:00-19:00 (weekdays) (default),1.132,6.69,3.205,2.757,H,Southern,19,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,RED,16:00-19:00 (weekdays) (default),0.685,3.92,2.3210526315789473,2.615,H,Southern,19,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,RED,16:00-19:00 (weekdays) (default),0.581,4.84,2.706315789473684,3.263,H,Southern,19,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,RED,16:00-19:00 (weekdays) (default),1.499,4.39,2.7728947368421055,3.048,H,Southern,19,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,RED,16:00-19:00 (weekdays) (default),1.433,4.92,2.8928947368421056,3.04,H,Southern,19,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,RED,16:00-19:00 (weekdays) (default),1.052,6.81,3.0549999999999997,2.147,H,Southern,19,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,RED,16:00-19:00 (weekdays) (default),0.124,3.33,1.8423684210526317,1.947,H,Southern,19,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,RED,16:00-19:00 (weekdays) (default),0.58,2.33,1.615,1.627,H,Southern,19,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,RED,16:00-19:00 (weekdays) (default),2.0,3.01,2.395,2.096,H,Southern,14,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,RED,16:00-19:00 (weekdays) (default),1.078,2.474,1.8273333333333333,1.93,H,Southern,15,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,RED,16:00-19:00 (weekdays) (default),0.666,3.12,1.8026315789473684,1.464,H,Southern,19,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,RED,16:00-19:00 (weekdays) (default),0.674,3.98,2.0778947368421052,1.642,H,Southern,19,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,RED,16:00-19:00 (weekdays) (default),0.441,2.52,1.6431578947368422,1.683,H,Southern,19,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,RED,16:00-19:00 (weekdays) (default),0.399,3.32,1.9892105263157895,2.24,H,Southern,19,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,RED,16:00-19:00 (weekdays) (default),1.008,2.95,2.0023684210526316,2.051,H,Southern,19,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,RED,16:00-19:00 (weekdays) (default),0.888,3.05,1.952894736842105,1.883,H,Southern,19,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,RED,16:00-19:00 (weekdays) (default),0.632,4.09,2.0031578947368422,1.29,H,Southern,19,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,RED,16:00-19:00 (weekdays) (default),1.004,1.111,1.0518,1.051,H,Southern,10,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,RED,16:00-19:00 (weekdays) (default),1.004,1.075,1.0397142857142856,1.043,H,Southern,7,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,RED,16:00-19:00 (weekdays) (default),0.2226019915201533,7.6,1.8657674085082363,0.3365463788082508,H,Southern,10,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,RED,16:00-19:00 (weekdays) (default),0.523986612873,4.04583095085,2.2849087818615,4.04583095085,H,Southern,2,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,RED,16:00-19:00 (weekdays) (default),0.72,11.96,3.785,2.79,H,Southern,40,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,RED,16:00-19:00 (weekdays) (default),0.1351037504097883,4.269346868387519,2.2022253093986537,4.269346868387519,H,Southern,4,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,RED,16:00-19:00 (weekdays) (default),1.066233918740059,4.004593495315447,2.0493224219598907,1.0771398518241653,H,Southern,3,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,RED,16:00-19:00 (weekdays) (default),0.2036288464709518,13.92879223996246,5.236860228931443,1.3867182474637116,H,Southern,5,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,RED,16:00-19:00 (weekdays) (default),0.329951316643,3.22196677708,1.45494505888775,1.79539778392,H,Southern,4,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2020,20,SSE-SEPD,SEPD,RED,16:00-19:00 (weekdays) (default),1.0,2.0,1.4745762711864407,1.0,H,Southern,59,p/kWh,dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx
2021,20,SSE-SEPD,SEPD,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",1.003,1.081,1.043,1.045,H,Southern,10,p/kWh,dno_data_enhanced/sepd--schedule-of-charges-and-other-tables-embedded-networks-april-2021_v1.1.xlsx
2021,20,SSE-SEPD,SEPD,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",1.005,1.078,1.0417142857142856,1.045,H,Southern,7,p/kWh,dno_data_enhanced/sepd--schedule-of-charges-and-other-tables-embedded-networks-april-2021_v1.1.xlsx
2021,20,SSE-SEPD,SEPD,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.1841845656319999,0.234848293799,0.2095164297155,0.234848293799,H,Southern,2,p/kWh,dno_data_enhanced/sepd--schedule-of-charges-and-other-tables-embedded-networks-april-2021_v1.1.xlsx
2021,20,SSE-SEPD,SEPD,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.39,20.08,3.2971428571428567,1.63,H,Southern,21,p/kWh,dno_data_enhanced/sepd--schedule-of-charges-and-other-tables-embedded-networks-april-2021_v1.1.xlsx
2021,20,SSE-SEPD,SEPD,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.978,1.173,1.015814953271028,1.013,H,Southern,535,p/kWh,dno_data_enhanced/sepd_schedule-of-charges-and-other-tables-april-2021-v1.4.xlsx
2021,20,SSE-SEPD,SEPD,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",4.59227694810539,4.59227694810539,4.59227694810539,4.59227694810539,H,Southern,2,p/kWh,dno_data_enhanced/sepd_schedule-of-charges-and-other-tables-april-2021-v1.4.xlsx
2021,20,SSE-SEPD,SEPD,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",1.0,1.0,1.0,1.0,H,Southern,6,p/kWh,dno_data_enhanced/sepd_pcdm_v4_20211122_2023_24_pre-release.xlsx
2021,20,SSE-SEPD,SEPD,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.220367703538239,1.0,0.4517437893877541,0.2711755347010317,H,Southern,11,p/kWh,dno_data_enhanced/sepd_pcdm_v4_20211122_2023_24_pre-release.xlsx
2021,20,SSE-SEPD,SEPD,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.6669795982883451,1.0,0.8768363336015458,0.9614953320173254,H,Southern,24,p/kWh,dno_data_enhanced/sepd_pcdm_v4_20211122_2023_24_pre-release.xlsx
2021,20,SSE-SEPD,SEPD,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.0534550617607938,0.0974255602425971,0.068464264140201,0.068464264140201,H,Southern,4,p/kWh,dno_data_enhanced/sepd-arp_v7_20211122_2023_24_pre-release.xlsx
2021,20,SSE-SEPD,SEPD,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.0049657282164738,0.7571483804067973,0.4229686374877764,0.6763302647524999,H,Southern,16,p/kWh,dno_data_enhanced/sepd-arp_v7_20211122_2023_24_pre-release.xlsx
2021,20,SSE-SEPD,SEPD,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.0025650962408412,1.089,0.3888448017741733,0.3393962715835692,H,Southern,65,p/kWh,dno_data_enhanced/sepd-arp_v7_20211122_2023_24_pre-release.xlsx
2021,20,SSE-SEPD,SEPD,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.012370413198693,1.014,0.2718878690046706,0.0801095473837611,H,Southern,11,p/kWh,dno_data_enhanced/sepd-arp_v7_20211122_2023_24_pre-release.xlsx
2021,20,SSE-SEPD,SEPD,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.0244009259838578,0.0663810136980219,0.0348959479123988,0.0244009259838578,H,Southern,20,p/kWh,dno_data_enhanced/sepd-arp_v7_20211122_2023_24_pre-release.xlsx
2021,20,SSE-SEPD,SEPD,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.012370413198693,1.016,0.2640813403043466,0.0772036934487698,H,Southern,11,p/kWh,dno_data_enhanced/sepd_cdcm_v5_2021-22-pre-release_20191108_final.xlsx
2021,20,SSE-SEPD,SEPD,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.0244009259838578,0.0663810136980219,0.0348959479123988,0.0244009259838578,H,Southern,20,p/kWh,dno_data_enhanced/sepd_cdcm_v5_2021-22-pre-release_20191108_final.xlsx
2021,20,SSE-SEPD,SEPD,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",1.0,1.0,1.0,1.0,H,Southern,6,p/kWh,dno_data_enhanced/sepd_pcdm_v4_2021-22-pre-release_20191108_final.xlsx
2021,20,SSE-SEPD,SEPD,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.220367703538239,1.0,0.4516552675991086,0.270881700959637,H,Southern,11,p/kWh,dno_data_enhanced/sepd_pcdm_v4_2021-22-pre-release_20191108_final.xlsx
2021,20,SSE-SEPD,SEPD,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.6669795982883451,1.0,0.8768363336015458,0.9614953320173256,H,Southern,24,p/kWh,dno_data_enhanced/sepd_pcdm_v4_2021-22-pre-release_20191108_final.xlsx
2021,20,SSE-SEPD,SEPD,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.0086754531560986,1.004,0.4227604702375568,0.2465931996211254,H,Southern,7,p/kWh,dno_data_enhanced/sepd_cdcm_v8_20211122_2023_24_pre-release_lrsp-updates_v1.1.xlsx
2021,20,SSE-SEPD,SEPD,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.0244009259838578,0.0663810136980219,0.0348959479123988,0.0244009259838578,H,Southern,20,p/kWh,dno_data_enhanced/sepd_cdcm_v8_20211122_2023_24_pre-release_lrsp-updates_v1.1.xlsx
2021,20,SSE-SEPD,SEPD,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",0.261,15.577,4.675260869565218,0.71,H,Southern,23,p/kWh,dno_data_enhanced/sepd--schedule-of-charges-and-other-tables-embedded-networks-april-2021_v1.1.xlsx
2021,20,SSE-SEPD,SEPD,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",0.935,8.743,3.607521739130435,1.868,H,Southern,23,p/kWh,dno_data_enhanced/sepd--schedule-of-charges-and-other-tables-embedded-networks-april-2021_v1.1.xlsx
2021,20,SSE-SEPD,SEPD,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",0.907,9.694,4.3395294117647065,3.31,H,Southern,17,p/kWh,dno_data_enhanced/sepd--schedule-of-charges-and-other-tables-embedded-networks-april-2021_v1.1.xlsx
2021,20,SSE-SEPD,SEPD,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.563,11.481,4.586739130434783,2.962,H,Southern,23,p/kWh,dno_data_enhanced/sepd--schedule-of-charges-and-other-tables-embedded-networks-april-2021_v1.1.xlsx
